"Common Name","Scientific Name","Number of Records"
"oxeye daisy","Leucanthemum vulgare","42"
"hedge bindweed","Calystegia sepium","41"
"silver hairgrass","Aira caryophyllea","41"
"giant knotweed","Reynoutria sachalinensis","40"
"sulfur cinquefoil","Potentilla recta","40"
"red fox","Vulpes vulpes","40"
"Japanese holly","Ilex crenata","40"
"Tatarian honeysuckle","Lonicera tatarica","40"
"bladder campion","Silene vulgaris","39"
"black knapweed","Centaurea nigra","39"
"bird vetch","Vicia cracca","38"
"English ivy","Hedera helix","38"
"common velvetgrass","Holcus lanatus","37"
"common burdock, lesser burdock","Arctium minus","37"
"common groundsel","Senecio vulgaris","37"
"spring whitlowgrass","Draba verna","36"
"dog-strangling vine, European swallowwort","Vincetoxicum rossicum","35"
"European spindletree","Euonymus europaeus","35"
"common cocklebur","Xanthium strumarium","34"
"smooth bedstraw","Galium mollugo","34"
"rock dandelion","Taraxacum erythrospermum","34"
"yellow rocket","Barbarea vulgaris","34"
"orange hawkweed","Pilosella aurantiaca","34"
"white mulberry","Morus alba","33"
"black medic","Medicago lupulina","33"
"lily of the valley","Convallaria majalis","33"
"onerow yellowcress","Nasturtium microphyllum","33"
"Canadian horseweed","Erigeron canadensis","32"
"Amur honeysuckle","Lonicera maackii","32"
"American burnweed","Erechtites hieraciifolius","32"
"bulbous buttercup","Ranunculus bulbosus","32"
"northern catalpa","Catalpa speciosa","32"
"hop clover","Trifolium aureum","31"
"pineapple-weed","Matricaria discoidea","31"
"slender snakecotton","Froelichia gracilis","31"
"European black alder","Alnus glutinosa","31"
"wild radish","Raphanus raphanistrum","31"
"thymeleaf speedwell","Veronica serpyllifolia","31"
"stinging nettle","Urtica dioica","31"
"hairy galinsoga","Galinsoga quadriradiata","30"
"sweet autumn virginsbower","Clematis terniflora","30"
"sweet vernalgrass","Anthoxanthum odoratum","30"
"common lilac","Syringa vulgaris","30"
"common mallow","Malva neglecta","29"
"timothy","Phleum pratense","29"
"orchardgrass","Dactylis glomerata","29"
"perennial sowthistle","Sonchus arvensis","29"
"tall buttercup","Ranunculus acris","29"
"ladysthumb","Persicaria maculosa","29"
"mile-a-minute vine, Asiatic tearthumb","Persicaria perfoliata","29"
"corn speedwell","Veronica arvensis","29"
"spotted-wing drosophila","Drosophila suzukii","29"
"Canada bluegrass","Poa compressa","29"
"redstem filaree","Erodium cicutarium","29"
"wine raspberry","Rubus phoenicolasius","29"
"wild garlic","Allium vineale","29"
"Virginia pepperweed","Lepidium virginicum","29"
"tawny daylily","Hemerocallis fulva","29"
"kingdevil hawkweed","Hieracium piloselloides","29"
"catnip","Nepeta cataria","29"
"common duckweed","Lemna minor","29"
"hoary alyssum","Berteroa incana","28"
"wild mustard","Sinapis arvensis","28"
"common ragweed","Ambrosia artemisiifolia","28"
"common chickweed","Stellaria pallida","28"
"annual sowthistle","Sonchus oleraceus","28"
"dotted smartweed","Persicaria punctata","28"
"paradise apple","Malus pumila","28"
"colonial bentgrass","Agrostis capillaris","28"
"barnyardgrass","Echinochloa crus-galli","28"
"elecampane","Inula helenium","28"
"hedge mustard","Sisymbrium officinale","28"
"common viper's bugloss, blueweed","Echium vulgare","28"
"thymeleaf sandwort","Arenaria serpyllifolia","28"
"large crabgrass","Digitaria sanguinalis","28"
"stinking chamomile","Anthemis cotula","28"
"annual bluegrass","Poa annua","28"
"red fescue","Festuca rubra","28"
"Kentucky bluegrass","Poa pratensis","28"
"waterpurslane","Ludwigia palustris","28"
"beech bark disease","Neonectria faginata","28"
"wild four-o'clock","Mirabilis nyctaginea","28"
"meadow fescue","Festuca pratensis","28"
"wild parsnip","Pastinaca sativa","28"
"curly dock","Rumex crispus ssp. crispus","28"
"pale smartweed","Polygonum lapathifolium","28"
"eastern white pine","Pinus strobus","28"
"shepherd's-purse","Capsella bursa-pastoris","28"
"green foxtail","Setaria viridis","28"
"tall lettuce","Lactuca canadensis","28"
"tumble mustard","Sisymbrium altissimum","28"
"yellow sweet-clover","Melilotus officinalis","28"
"redtop","Agrostis gigantea","28"
"quackgrass","Elymus repens","28"
"motherwort","Leonurus cardiaca","28"
"spiny sowthistle","Sonchus asper","28"
"rye brome","Bromus secalinus","28"
"yellow nutsedge","Cyperus esculentus","27"
"field bindweed","Convolvulus arvensis","27"
"yellow bedstraw","Galium verum","27"
"wild buckwheat","Fallopia convolvulus","27"
"great burdock","Arctium lappa","27"
"creeping bellflower","Campanula rapunculoides","27"
"field pennycress","Thlaspi arvense","27"
"alsike clover","Trifolium hybridum","27"
"garden loosestrife","Lysimachia vulgaris","27"
"Amur corktree","Phellodendron amurense","27"
"stinkgrass","Eragrostis cilianensis","27"
"white willow","Salix alba","26"
"broadleaf dock","Rumex obtusifolius","26"
"meadow campion","Silene flos-cuculi","26"
"smooth brome","Bromus inermis","26"
"roughstalk bluegrass","Poa trivialis","26"
"common vetch","Vicia sativa","26"
"velvetleaf","Abutilon theophrasti","26"
"meadow salsify","Tragopogon lamottei","26"
"purpleosier willow","Salix purpurea","26"
"longspine sandbur","Cenchrus longispinus","26"
"European red raspberry","Rubus idaeus","26"
"tall morning-glory","Ipomoea purpurea","26"
"sweetbriar","Rosa rubiginosa","26"
"mexicantea","Dysphania ambrosioides","25"
"wild chervil","Anthriscus sylvestris","25"
"Amur maple","Acer ginnala","25"
"tall oatgrass","Arrhenatherum elatius","25"
"prickly lettuce","Lactuca serriola","25"
"cultivated currant","Ribes rubrum","25"
"forest tent caterpillar","Malacosoma disstria","25"
"black mustard","Brassica nigra","25"
"Norway spruce","Picea abies","24"
"narrowleaf bittercress","Cardamine impatiens","24"
"helleborine","Epipactis helleborine","24"
"apple-of-Peru","Nicandra physalodes","24"
"dogwood anthracnose","Discula destructiva","24"
"Indian mustard","Brassica juncea","24"
"princess-feather","Persicaria orientalis","24"
"basil downy mildew","Peronospora belbahrii","24"
"mimosa","Albizia julibrissin","24"
"scarlet pimpernel","Anagallis arvensis","24"
"birdsrape mustard","Brassica rapa","24"
"moth mullein","Verbascum blattaria","24"
"carpet bugle","Ajuga reptans","24"
"mouse-eared hawkweed","Pilosella officinarum","24"
"European waterstarwort","Callitriche stagnalis","24"
"winter creeper","Euonymus fortunei","24"
"meadow hawkweed","Hieracium caespitosum","23"
"bald brome","Bromus racemosus","23"
"Scots pine","Pinus sylvestris","23"
"European cranberrybush","Viburnum opulus","23"
"spearmint","Mentha spicata","23"
"hemp/marijuana (sativa)","Cannabis sativa","23"
"sour cherry","Prunus cerasus","23"
"hairy cat's ear","Hypochaeris radicata","23"
"English oak","Quercus robur","23"
"absinth wormwood","Artemisia absinthium","22"
"Austrian pine","Pinus nigra","22"
"Himalayan balsam","Impatiens glandulifera","22"
"false spiraea","Sorbaria sorbifolia","22"
"giant foxtail","Setaria faberi","22"
"tara vine","Actinidia arguta","22"
"Russian olive","Elaeagnus angustifolia","22"
"crack willow","Salix fragilis","22"
"Russian thistle","Salsola kali","22"
"Venice mallow","Hibiscus trionum","22"
"smallflower galinsoga","Galinsoga parviflora","22"
"smallseed falseflax","Camelina microcarpa","22"
"large hop clover","Trifolium campestre","21"
"Scotch thistle","Onopordum acanthium","21"
"smooth hawksbeard","Crepis capillaris","21"
"common valerian","Valeriana officinalis","21"
"silvery cinquefoil","Potentilla argentea","21"
"beach wormwood","Artemisia stelleriana","21"
"giantseed goosefoot","Chenopodium simplex","21"
"Boston ivy","Parthenocissus tricuspidata","21"
"sweet cherry","Prunus avium","21"
"herb-robert","Geranium robertianum","21"
"corn gromwell","Buglossoides arvensis","21"
"yellow hornpoppy","Glaucium flavum","20"
"canarygrass","Phalaris canariensis","20"
"Dyer's greenweed","Genista tinctoria","20"
"white horehound","Marrubium vulgare","20"
"everlasting peavine","Lathyrus latifolius","20"
"Brazilian waterweed, Brazilian elodea","Egeria densa","20"
"brown knapweed","Centaurea jacea","20"
"sensitive partridgepea","Chamaecrista nictitans","20"
"kudzu","Pueraria montana var. lobata","19"
"Lombardy poplar","Populus nigra","19"
"European mountain-ash","Sorbus aucuparia","19"
"cornflower","Centaurea cyanus","19"
"California privet","Ligustrum ovalifolium","19"
"common hawthorn","Crataegus monogyna","19"
"Japanese pine bast scale","Matsucoccus matsumurae","19"
"common pear","Pyrus communis","19"
"exotic swallowwort","Vincetoxicum spp.","19"
"fall dandelion","Scorzoneroides autumnalis","18"
"houndstongue","Cynoglossum officinale","18"
"emerald ash borer","Agrilus planipennis","18"
"broomsedge bluestem","Andropogon virginicus","18"
"Eulophid wasp","Tetrastichus setifer","18"
"Mexican fireweed","Bassia scoparia","18"
"small hop clover","Trifolium dubium","18"
"clammy goosefoot","Dysphania pumilio","18"
"smooth cordgrass","Spartina alterniflora","18"
"bristly locust","Robinia hispida","18"
"wild oat","Avena fatua","18"
"autumn olive","Elaeagnus umbellata var. parvifolia","18"
"western salsify","Tragopogon dubius","18"
"large gray willow","Salix cinerea","18"
"poison hemlock","Conium maculatum","18"
"saltmeadow cordgrass","Spartina patens","18"
"nettleleaf goosefoot","Chenopodium murale","17"
"annual honesty","Lunaria annua","17"
"radish","Raphanus sativus","17"
"common horse chestnut","Aesculus hippocastanum","17"
"goosegrass","Eleusine indica","17"
"cutleaf evening-primrose","Oenothera laciniata","17"
"fall armyworm","Spodoptera frugiperda","17"
"Oriental lady's thumb","Polygonum posumbu","17"
"field brome","Bromus arvensis","17"
"prostrate knotweed","Polygonum aviculare","17"
"red sandspurry","Spergularia rubra","17"
"rattail fescue","Vulpia myuros","16"
"alfalfa","Medicago sativa","16"
"narrow-leaved cattail","Typha angustifolia","16"
"sorghum (type unspecified)","Sorghum bicolor","16"
"butternut canker","Ophiognomonia clavigignenti-juglandacearum","16"
"little starwort","Stellaria graminea","16"
"crested latesummer mint","Elsholtzia ciliata","16"
"Callery pear (Bradford pear)","Pyrus calleryana","16"
"asparagus","Asparagus officinalis","16"
"smooth crabgrass","Digitaria ischaemum","15"
"nipplewort","Lapsana communis","15"
"Oriental lady's thumb","Persicaria longiseta","15"
"heather","Calluna vulgaris","15"
"Hybrid barberry","Berberis x ottawensis","15"
"creeping bentgrass","Agrostis stolonifera","15"
"redroot pigweed","Amaranthus retroflexus","14"
"highbush blackberry","Rubus argutus","14"
"maiden pink","Dianthus deltoides","14"
"field sowthistle","Sonchus arvensis ssp. arvensis","14"
"white cockle","Silene latifolia ssp. alba","14"
"European pine shoot moth","Rhyacionia buoliana","14"
"field horsetail","Equisetum arvense","14"
"flixweed","Descurainia sophia","14"
"balsam poplar","Populus balsamifera","14"
"bristlegrass","Setaria spp.","14"
"fall panicum","Panicum dichotomiflorum","14"
"green bristlegrass","Setaria viridis var. viridis","14"
"birdseye pearlwort","Sagina procumbens","14"
"corn spurry","Spergula arvensis","14"
"beech leaf disease","Litylenchus crenatae mccannii","14"
"low cudweed","Gnaphalium uliginosum","14"
"elongate hemlock scale","Fiorinia externa","14"
"Siberian crabapple","Malus baccata","14"
"dog rose","Rosa canina","14"
"narrowleaf hawkweed","Hieracium umbellatum","14"
"common speedwell","Veronica officinalis","14"
"poison-sumac","Toxicodendron vernix","14"
"sparrow vetch","Vicia tetrasperma","14"
"yellow floating heart","Nymphoides peltata","14"
"harlequin blueflag","Iris versicolor","14"
"southern catalpa","Catalpa bignonioides","14"
"sweet alyssum","Lobularia maritima","14"
"hard fescue","Festuca brevipila","14"
"rose rosette disease (RRD)","Emaravirus RRD","14"
"pine false webworm","Acantholyda erythrocephala","14"
"yellow foxtail","Setaria pumila","14"
"pear thrips","Taeniothrips inconsequens","14"
"northern white cedar","Thuja occidentalis","14"
"soft brome","Bromus hordeaceus","13"
"wild onion","Allium canadense","13"
"spotted waterhemlock","Cicuta maculata","13"
"Ichneumonid wasp","Diaparsis jucunda","13"
"peppermint","Mentha x piperita","13"
"wild-proso millet","Panicum miliaceum","13"
"musk mallow","Malva moschata","13"
"ichneumonid wasp","Lemophagus errabundus","13"
"water knotweed","Polygonum amphibium","13"
"wirestem muhly","Muhlenbergia frondosa","13"
"field pepperweed","Lepidium campestre","13"
"johnsongrass","Sorghum halepense","13"
"field thistle","Cirsium discolor","13"
"prairie sunflower","Helianthus petiolaris","13"
"European birch","Betula pendula","13"
"chocolate vine","Akebia quinata","13"
"redsepal evening-primrose","Oenothera glazioviana","13"
"buckwheat","Fagopyrum esculentum","13"
"spiny amaranth","Amaranthus spinosus","13"
"spotted deadnettle","Lamium maculatum","13"
"Siberian elm","Ulmus pumila","13"
"hemp dogbane","Apocynum cannabinum","13"
"bittersweets","Celastrus spp.","12"
"soft brome","Bromus hordeaceus ssp. hordeaceus","12"
"corn cockle","Agrostemma githago","12"
"halberdleaf orach","Atriplex patula","12"
"witch's moneybags","Hylotelephium telephium ssp. telephium","12"
"French rose","Rosa gallica","12"
"cinnamon rose","Rosa cinnamomea","12"
"hyssop loosestrife","Lythrum hyssopifolia","12"
"smallflower sweetbrier","Rosa micrantha","12"
"melon","Cucumis melo","12"
"marsh-pepper smartweed","Persicaria hydropiper","12"
"Japanese pachysandra","Pachysandra terminalis","12"
"foxtail millet","Setaria italica","12"
"live-forever stonecrop","Hylotelephium telephium","12"
"hairy nightshade","Solanum physalifolium","12"
"common hempnettle","Galeopsis tetrahit","12"
"nimblewill","Muhlenbergia schreberi","12"
"common teasel","Dipsacus fullonum","12"
"shrubby St. Johnswort","Hypericum prolificum","12"
"American mannagrass","Glyceria grandis var. grandis","12"
"woodland strawberry","Fragaria vesca","12"
"chestnut blight or canker","Cryphonectria parasitica","12"
"brittleleaf naiad","Najas minor","12"
"California burclover","Medicago polymorpha","12"
"woodland strawberry","Fragaria vesca ssp. vesca","12"
"meadow foxtail","Alopecurus pratensis","11"
"lesser hawkbit","Leontodon saxatilis ssp. saxatilis","11"
"wallflower mustard","Erysimum cheiranthoides","11"
"water foxtail","Alopecurus geniculatus","11"
"Amur silvergrass","Miscanthus sacchariflorus","11"
"panicled hydrangea","Hydrangea paniculata","11"
"tansy ragwort","Jacobaea vulgaris","11"
"Russian thistle","Salsola tragus","11"
"corn chamomile","Anthemis arvensis","11"
"common flax","Linum usitatissimum","11"
"Long's sedge","Carex longii","11"
"cereal rye","Secale cereale","11"
"nightflowering catchfly","Silene noctiflora","11"
"bladder senna","Colutea arborescens","11"
"plum","Prunus domestica","11"
"bark beetle","Hylastes opacus","11"
"burcucumber","Sicyos angulatus","11"
"osier","Salix viminalis","11"
"diffuse knapweed","Centaurea diffusa","11"
"purple cudweed","Gamochaeta purpurea","11"
"periwinkle","Vinca","11"
"common caraway","Carum carvi","10"
"giant ragweed","Ambrosia trifida","10"
"cowcockle","Vaccaria hispanica","10"
"lesser swinecress","Coronopus didymus","10"
"apple-mint","Mentha x villosa","10"
"green stink bug","Chinavia hilaris","10"
"hawkweed oxtongue","Picris hieracioides","10"
"european starling","Sturnus vulgaris","10"
"Asian longhorned beetle","Anoplophora glabripennis","10"
"grassy arrowhead","Sagittaria graminea","10"
"slender Russian thistle","Salsola collina","10"
"giant chickweed","Myosoton aquaticum","10"
"February daphne","Daphne mezereum","10"
"common wheat","Triticum aestivum","10"
"feverfew","Tanacetum parthenium","10"
"bermudagrass","Cynodon dactylon","10"
"garden catchfly","Silene armeria","10"
"common grape hyacinth","Muscari botryoides","10"
"horsenettle","Solanum carolinense","10"
"English elm","Ulmus procera","10"
"gray poplar","Populus x canescens","10"
"weeping willow","Salix x sepulcralis","10"
"peach","Prunus persica","10"
"redstem stork's bill","Erodium cicutarium ssp. cicutarium","10"
"cranberry viburnum, European highbush cranberry","Viburnum opulus ssp. opulus","9"
"watermilfoil","Myriophyllum spp.","9"
"sheep fescue","Festuca trachyphylla","9"
"field dodder","Cuscuta pentagona","9"
"cutleaf blackberry","Rubus laciniatus","9"
"longleaf dock","Rumex longifolius","9"
"germander speedwell","Veronica chamaedrys","9"
"crimson clover","Trifolium incarnatum","9"
"European sticktight","Lappula squarrosa","9"
"fiveangled dodder","Cuscuta pentagona var. pentagona","9"
"foxglove","Digitalis purpurea","9"
"clasping pepperweed","Lepidium perfoliatum","9"
"green sorrel","Rumex acetosa","9"
"common comfrey","Symphytum officinale","9"
"pansy","Viola tricolor","9"
"yellow fieldcress","Rorippa sylvestris","9"
"laurel willow","Salix pentandra","9"
"memorial rose","Rosa lucieae","9"
"garden sorrel","Rumex acetosa ssp. acetosa","8"
"wall lettuce","Mycelis muralis","8"
"alpine knapweed, Tyrol knapweed","Centaurea nigrescens","8"
"lemon balm","Melissa officinalis","8"
"bristly foxtail","Setaria verticillata","8"
"giant hogweed","Heracleum mantegazzianum","8"
"hollyhock","Alcea rosea","8"
"prostrate pigweed","Amaranthus blitoides","8"
"bulbous bluegrass","Poa bulbosa","8"
"knotroot foxtail","Setaria parviflora","8"
"queen-of-the-meadow","Filipendula ulmaria","8"
"European elm bark beetle, smaller European elm bark beetle","Scolytus multistriatus","8"
"osage-orange","Maclura pomifera","8"
"musk thistle, nodding thistle","Carduus nutans","8"
"white mignonette","Reseda alba","8"
"clover dodder","Cuscuta epithymum","8"
"Elaeagnus","Elaeagnus spp.","8"
"black henbane","Hyoscyamus niger","8"
"poverty brome","Bromus sterilis","8"
"coast tarweed","Madia sativa","7"
"European columbine","Aquilegia vulgaris","7"
"strawberry root weevil","Otiorhynchus ovatus","7"
"common hawkweed","Hieracium lachenalii","7"
"dwarf honeysuckle","Lonicera xylosteum","7"
"fennel","Foeniculum vulgare","7"
"bridalwreath spiraea","Spiraea prunifolia","7"
"common salsify","Tragopogon porrifolius","7"
"cup rosinweed","Silphium perfoliatum","7"
"red-eared slider","Trachemys scripta elegans","7"
"crossleaf heath","Erica tetralix","7"
"imported willow leaf beetle","Plagiodera versicolora","7"
"European centaury","Centaurium erythraea","7"
"longleaf speedwell","Pseudolysimachion longifolium","7"
"ripgut brome","Bromus diandrus var. rigidus","6"
"rabbitfoot polypogon","Polypogon monspeliensis","6"
"field madder","Sherardia arvensis","6"
"eclipta","Eclipta prostrata","6"
"spiny cocklebur","Xanthium spinosum","6"
"wild marjoram","Origanum vulgare","6"
"barley","Hordeum vulgare","6"
"gorse","Ulex europaeus","6"
"ivyleaf morning-glory","Ipomoea hederacea","6"
"woodland forget-me-not","Myosotis sylvatica","6"
"Scottish rose","Rosa spinosissima","6"
"cherry plum","Prunus cerasifera","6"
"pitted morning-glory","Ipomoea lacunosa","6"
"rough mannagrass","Glyceria maxima","6"
"tall fescue","Festuca arundinacea","6"
"ripgut brome","Bromus diandrus","6"
"perilla mint","Perilla frutescens","6"
"oakforest woodrush","Luzula luzuloides","6"
"whorled pennywort","Hydrocotyle verticillata","6"
"dwarf snapdragon","Chaenorhinum minus","6"
"biennial wormwood","Artemisia biennis","6"
"wayfaringtree","Viburnum lantana","5"
"wild marigold","Tagetes minuta","5"
"New England hawkweed, European hawkweed","Hieracium sabaudum","5"
"annual wormwood","Artemisia annua","5"
"yellow daylily","Hemerocallis lilioasphodelus","5"
"western bean cutworm","Striacosta albicosta","5"
"plumleaf crabapple","Malus prunifolia","5"
"catchweed bedstraw","Galium aparine","5"
"giant sumpweed","Cyclachaena xanthifolia","5"
"Thunberg's geranium","Geranium thunbergii","5"
"yellow alyssum","Alyssum alyssoides","5"
"Bohemian knotweed, Hybrid Japanese knotweed","Reynoutria x bohemica","5"
"jetbead","Rhodotypos scandens","5"
"annual yellow sweetclover","Melilotus indicus","5"
"yellow devil hawkweed","Hieracium x floribundum","5"
"English catchfly","Silene gallica","5"
"dog mustard","Erucastrum gallicum","5"
"Himalayan blackberry","Rubus bifrons","5"
"Chinese catalpa","Catalpa ovata","5"
"corn poppy","Papaver rhoeas","5"
"English violet","Viola odorata","5"
"hydrilla","Hydrilla verticillata","5"
"black vine weevil","Otiorhynchus sulcatus","5"
"lettuce","Lactuca sativa","5"
"Asiatic oak weevil","Cyrtepistomus castaneus","5"
"petty spurge","Euphorbia peplus","5"
"aspen/poplar","Populus spp.","5"
"largeseed falseflax","Camelina sativa","5"
"crownbeard","Verbesina encelioides","5"
"poplar-and-willow borer","Cryptorhynchus lapathi","5"
"garden cosmos","Cosmos bipinnatus","5"
"mouse barley","Hordeum murinum","5"
"fire blight","Erwinia amylovora","5"
"leporinum barley","Hordeum murinum ssp. leporinum","5"
"Japanese spiraea","Spiraea japonica","4"
"amphibious yellowcress","Rorippa amphibia","4"
"pale dock","Rumex altissimus","4"
"longleaf groundcherry","Physalis longifolia","4"
"Miscanthus","Miscanthus","4"
"ball mustard","Neslia paniculata","4"
"Mahaleb cherry","Prunus mahaleb","4"
"marsh thistle","Cirsium palustre","4"
"goatsrue","Galega officinalis","4"
"burning nettle","Urtica urens","4"
"fieldnettle betony","Stachys arvensis","4"
"introduced pine sawfly","Diprion similis","4"
"doubtful knight's-spur","Consolida ajacis","4"
"butterflybush","Buddleja davidii","4"
"fivehook bassia","Bassia hyssopifolia","4"
"foxtail brome","Bromus madritensis","4"
"California poppy","Eschscholzia californica","4"
"common pearlbrush","Exochorda racemosa","4"
"broomleaf toadflax","Linaria genistifolia","4"
"common pine shoot beetle, larger pine shoot beetle","Tomicus piniperda","4"
"Chinese fountaingrass","Cenchrus alopecuroides","4"
"cutleaf teasel","Dipsacus laciniatus","4"
"edible fig","Ficus carica","4"
"Chinese fleecevine","Fallopia baldschuanica","4"
"slender meadow foxtail","Alopecurus myosuroides","4"
"curlycup gumweed","Grindelia squarrosa","4"
"smallflower tamarisk","Tamarix parviflora","4"
"turnipweed","Rapistrum rugosum","4"
"small carpetgrass, joint-head grass","Arthraxon hispidus","4"
"cutleaf geranium","Geranium dissectum","4"
"sericea lespedeza","Lespedeza cuneata","4"
"shortneedle evergreen scale","Dynaspidiotus tsugae","4"
"red morning-glory","Ipomoea coccinea","4"
"Japanese wisteria","Wisteria floribunda","4"
"rattlesnake brome","Bromus briziformis","4"
"Siebold's arrowwood","Viburnum sieboldii","4"
"red amaranth","Amaranthus cruentus","4"
"Malta starthistle","Centaurea melitensis","4"
"white satin moth","Leucoma salicis","4"
"snowdrop","Galanthus nivalis","4"
"Jerusalem-cherry","Solanum pseudocapsicum","4"
"princesstree","Paulownia tomentosa","4"
"narrowleaf hawksbeard","Crepis tectorum","4"
"white mustard","Sinapis alba","4"
"white sweetclover","Melilotus albus","4"
"teasel","Dipsacus","4"
